Time (s),Channel 1 (V),Channel 2 (V)
-3.192e-05,-1.899461774287787,-0.3066858751256152
-3.19e-05,-1.889552317567449,-0.3106806345274009
-3.187999999999999e-05,-1.880303491295129,-0.3160069803964513
-3.186e-05,-1.8703940345748,-0.3219991194991244
-3.184e-05,-1.860154262630446,-0.3266596721345438
-3.182e-05,-1.851566066806153,-0.3313202247699605
-3.179999999999999e-05,-1.84033534918977,-0.3353149841717463
-3.178e-05,-1.829434946797404,-0.3409742266576068
-3.176e-05,-1.820516435749095,-0.3466334691434725
-3.174e-05,-1.809616033356723,-0.3509611251620737
-3.171999999999999e-05,-1.797724685292317,-0.3549558845638594
-3.169999999999999e-05,-1.785833337227906,-0.3596164371992785
-3.168e-05,-1.773611673939495,-0.3649427830683237
-3.166e-05,-1.76172032587509,-0.368604645853294
-3.164e-05,-1.748838032138651,-0.3742638883391571
-3.161999999999999e-05,-1.736946684074239,-0.379257337591391
-3.16e-05,-1.723073444665778,-0.3829192003763578
-3.158e-05,-1.710521466153344,-0.3862481665445143
-3.156e-05,-1.696648226744871,-0.3915745124135619
-3.153999999999999e-05,-1.682444672112381,-0.3955692718153495
-3.152e-05,-1.670223008823975,-0.3995640312171316
-3.15e-05,-1.654698193295441,-0.4032258940021037
-3.148e-05,-1.6388430625429,-0.4068877567870739
-3.145999999999999e-05,-1.624969823134427,-0.4112154128056751
-3.144e-05,-1.608784377157882,-0.4145443789738284
-3.142e-05,-1.594580822525391,-0.4185391383756156
-3.14e-05,-1.580377267892906,-0.4215352079269549
-3.137999999999999e-05,-1.563531191468332,-0.4265286571791871
-3.135999999999999e-05,-1.546024484595727,-0.4285260368800819
-3.134e-05,-1.529508723395172,-0.4328536928986812
-3.132e-05,-1.514644538314665,-0.435516865833205
-3.13e-05,-1.49779846189009,-0.4395116252349907
-3.127999999999999e-05,-1.479961439793474,-0.4435063846367777
-3.126e-05,-1.46146378724886,-0.4461695575712991
-3.124e-05,-1.445938971720322,-0.449498523739455
-3.122e-05,-1.427771634399703,-0.4511630068235324
-3.119999999999999e-05,-1.409934612303087,-0.45582355945895
-3.118e-05,-1.393418851102539,-0.4578209391598411
-3.116e-05,-1.374260568109878,-0.4611499053279968
-3.114e-05,-1.351799132877112,-0.4644788714961515
-3.111999999999999e-05,-1.336934947796605,-0.4658104579634135
-3.11e-05,-1.316785719131927,-0.4698052173651974
-3.108e-05,-1.296966805691242,-0.472468390299723
-3.106e-05,-1.275826631354521,-0.4747986666174314
-3.103999999999999e-05,-1.257328978809891,-0.4767960463183242
-3.101999999999999e-05,-1.238170695817228,-0.4791263226360334
-3.1e-05,-1.217691151928539,-0.4811237023369254
-3.098e-05,-1.198532868935886,-0.4837868752714493
-3.095999999999999e-05,-1.176732064151143,-0.4854513583555266
-3.093999999999999e-05,-1.157904096382491,-0.4867829448227901
-3.092e-05,-1.136433606821768,-0.4901119109909433
-3.09e-05,-1.114963117261036,-0.4927750839254671
-3.088e-05,-1.093162312476293,-0.4937737737759136
-3.085999999999999e-05,-1.071361507691539,-0.4954382568599912
-3.084e-05,-1.049560702906816,-0.4961040500936216
-3.082e-05,-1.02709926767404,-0.4984343264113302
-3.08e-05,-1.006619723785342,-0.5000988094954076
-3.077999999999999e-05,-0.9858098646726322,-0.5020961891963005
-3.076e-05,-0.9643393751119098,-0.5030948790467464
-3.074e-05,-0.9408869942071004,-0.5040935688971934
-3.072e-05,-0.9207377655424133,-0.5054251553644553
-3.069999999999999e-05,-0.8959641237415685,-0.5064238452149017
-3.067999999999999e-05,-0.8738330037328029,-0.5077554316821637
-3.066e-05,-0.8497199923799917,-0.5080883282989791
-3.064e-05,-0.8259372962511807,-0.50875412153261
-3.061999999999999e-05,-0.8034758610184148,-0.5107515012335029
-3.059999999999999e-05,-0.7810144257856375,-0.5110843978503188
-3.058e-05,-0.7559104687607929,-0.5120830877007648
-3.056e-05,-0.7360915553201172,-0.5130817775512113
-3.054e-05,-0.7086753917271823,-0.5127488809343957
-3.051999999999999e-05,-0.6858836412703948,-0.5124159843175811
-3.05e-05,-0.6630918908136383,-0.5140804674016569
-3.048e-05,-0.6386485642367945,-0.5134146741680268
-3.046e-05,-0.6165174442280398,-0.5140804674016577
-3.043999999999999e-05,-0.59042254153115,-0.5137475707848422
-3.042e-05,-0.5646579540582832,-0.5137475707848422
-3.04e-05,-0.5408752579294606,-0.5140804674016577
-3.038e-05,-0.5164319313526271,-0.5127488809343957
-3.035999999999999e-05,-0.4946311265678837,-0.5140804674016577
-3.034e-05,-0.4678755934229835,-0.5127488809343963
-3.032e-05,-0.4434322668461379,-0.5130817775512113
-3.03e-05,-0.4183283098212819,-0.5127488809343957
-3.027999999999999e-05,-0.3935546680204371,-0.5104186046166874
-3.025999999999999e-05,-0.3701022871156255,-0.5110843978503179
-3.024e-05,-0.3440073844187477,-0.510085707999872
-3.022e-05,-0.3198943730659254,-0.5090870181494255
-3.02e-05,-0.2937994703690356,-0.5090870181494255
